,Symbol,Date,Pressure,Call_Open_Int,Put_Open_Int,Call_ROI,Put_ROI
1319,HSBC,2016-10-10,0.4,657.0,533.0,-0.5045871559633027,0.28358208955223896
1320,HSBC,2016-10-11,0.5,569.0,950.0,-0.1333333333333333,-0.0624999999999999
1321,HSBC,2016-10-12,0.4,569.0,950.0,0.14545454545454536,-0.31282051282051276
1322,HRC,2016-10-24,0.4,16.0,29.0,-0.9354838709677419,0.9545454545454543
1323,HPT,2016-10-06,0.6,24.0,68.0,-0.03448275862068969,-0.31818181818181823
1324,HPT,2016-10-07,0.3,374.0,1092.0,0.0,-0.30303030303030304
1325,HPT,2016-10-10,0.3,374.0,1092.0,0.0,-0.3428571428571429
1326,HPT,2016-10-12,0.3,374.0,1092.0,0.1333333333333333,-0.41666666666666663
1327,HPT,2016-10-25,0.5,24.0,77.0,-0.7142857142857143,0.18181818181818177
1328,HPT,2016-10-26,0.5,24.0,77.0,-0.75,0.0
1329,HPQ,2016-10-20,0.6,758.0,294.0,-0.3484848484848485,-0.07843137254901968
1330,HPQ,2016-10-21,0.6,768.0,318.0,-0.2,-0.23076923076923075
1331,HP,2016-10-26,0.5,2805.0,1468.0,-0.5135135135135135,0.32432432432432434
1332,HON,2016-10-14,0.4,2554.0,253.0,0.01734104046242776,-0.43589743589743585
1333,HMY,2016-10-07,0.5,683.0,608.0,-0.5,-0.33333333333333326
1334,HMY,2016-10-10,0.5,683.0,608.0,-0.5,-0.5
1335,HMY,2016-10-11,0.5,696.0,442.0,0.0,-0.7142857142857143
1336,HMY,2016-10-25,0.6,763.0,556.0,-0.2222222222222223,-0.7500000000000001
1337,HMY,2016-10-26,0.6,763.0,556.0,-0.37500000000000006,-0.7500000000000001
1338,HLF,2016-10-26,0.5,12.0,10.0,-0.7791666666666667,0.35869565217391314
1339,HL,2016-10-06,0.6,2929.0,1262.0,0.030303030303030328,-0.17021276595744672
1340,HL,2016-10-07,0.6,2949.0,1334.0,-0.02985074626865674,-0.14893617021276587
1341,HL,2016-10-12,0.6,3097.0,1410.0,1.0,-0.625
1342,HL,2016-10-25,0.3,4795.0,1166.0,0.41304347826086957,-0.40579710144927533
1343,HL,2016-10-26,0.4,4960.0,1181.0,0.10714285714285703,-0.17543859649122803
1344,HIMX,2016-10-06,0.4,16812.0,1201.0,-0.3125,-0.16666666666666663
1345,HIMX,2016-10-10,0.4,17860.0,1191.0,-0.3125,-0.24999999999999994
1346,HIMX,2016-10-11,0.6,882.0,5557.0,-0.17857142857142858,-0.46153846153846156
1347,HIMX,2016-10-12,0.6,882.0,5672.0,-0.20833333333333334,-0.39999999999999997
1348,HIMX,2016-10-25,0.5,915.0,5801.0,-0.5,-0.17647058823529416
1349,HIMX,2016-10-26,0.5,935.0,5811.0,-0.4117647058823529,-0.11764705882352938
1350,HIG,2016-10-07,0.4,414.0,182.0,-0.16363636363636366,0.0
1351,HIG,2016-10-10,0.4,423.0,180.0,-0.24223602484472057,0.03381642512077309
1352,HIG,2016-10-11,0.4,425.0,180.0,-0.2292993630573249,0.06499999999999995
1353,HIG,2016-10-12,0.5,601.0,214.0,-0.038674033149171304,-0.1264367816091954
1354,HIG,2016-10-25,0.5,741.0,367.0,0.24475524475524482,-0.4099378881987578
1355,HIG,2016-10-26,0.5,738.0,381.0,0.5156249999999999,-0.46470588235294114
1356,HFC,2016-10-06,0.5,615.0,302.0,-0.6585365853658537,0.6756756756756757
1357,HFC,2016-10-07,0.5,615.0,302.0,-0.7105263157894737,0.6000000000000001
1358,HFC,2016-10-10,0.4,643.0,1275.0,-0.4857142857142857,0.13953488372093037
1359,HFC,2016-10-11,0.5,649.0,1279.0,-0.5263157894736842,0.2631578947368421
1360,HFC,2016-10-12,0.4,652.0,1280.0,-0.5757575757575758,0.2790697674418605
1361,HFC,2016-10-25,0.5,319.0,2285.0,0.10256410256410255,-0.25806451612903236
1362,HFC,2016-10-26,0.4,1775.0,1404.0,-0.1379310344827586,-0.02702702702702705
1363,HD,2016-10-18,0.4,45.0,51.0,-0.4131147540983606,0.050000000000000044
1364,HD,2016-10-20,0.6,45.0,51.0,-0.638235294117647,0.4925373134328358
1365,HCN,2016-10-10,0.4,109.0,284.0,-0.2127659574468085,-0.08571428571428566
1366,HCN,2016-10-26,0.5,190.0,299.0,-0.8,0.7727272727272726
1367,HCA,2016-10-26,0.6,366.0,153.0,-0.6538461538461539,1.0701754385964912
1368,HBAN,2016-10-20,0.5,577.0,677.0,1.4375,-0.8333333333333334
1369,HBAN,2016-10-21,0.6,617.0,812.0,0.7631578947368421,-0.6956521739130435
1370,HAS,2016-10-21,0.5,11.0,8.0,0.09090909090909079,-0.48837209302325574
1371,HALO,2016-10-25,0.5,453.0,65.0,-0.5,0.08000000000000007
1372,HALO,2016-10-26,0.5,459.0,65.0,-0.5357142857142857,-0.1333333333333333
1373,HAL,2016-10-07,0.5,150.0,333.0,0.09541984732824427,-0.15126050420168063
1374,HAL,2016-10-25,0.5,1489.0,1166.0,-0.4223300970873787,0.6410256410256412
1375,HAL,2016-10-26,0.6,695.0,605.0,-0.35390946502057613,0.5773809523809524
1376,HAIN,2016-10-14,0.6,593.0,1242.0,0.18367346938775497,0.023809523809523725
1377,HAIN,2016-10-18,0.5,619.0,1659.0,0.619047619047619,-0.4222222222222222
1378,HAIN,2016-10-19,0.5,6879.0,479.0,0.1,-0.4230769230769231
1379,HAIN,2016-10-20,0.5,6875.0,479.0,-0.29687500000000006,-0.41379310344827586
